Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering
18,1,0,4,6.738438261534911,13,1,2,0,1,0,0
18,1,1,1,10.003958710455706,3,0,4,0,1,0,0
15,1,1,2,1.4475278638824496,21,0,1,0,0,0,0
18,1,0,1,4.661063759697173,19,1,2,0,0,0,0
16,1,2,2,5.638591035031215,19,0,1,0,0,1,0
18,0,0,3,8.00310545730798,14,0,3,0,0,0,0
18,1,0,1,7.380354648223455,15,0,2,0,0,0,0
15,1,3,3,13.48439264894794,13,0,0,1,1,0,0
16,1,0,2,13.72048447871782,16,0,3,0,0,1,0
17,0,0,2,18.88189571860729,16,1,4,1,1,0,0
18,1,3,1,14.38045640867202,16,0,3,0,0,0,0
15,0,0,1,18.91259355497994,10,0,2,0,1,1,0
17,0,0,2,0.4426890205899414,5,0,1,1,0,0,0
17,1,0,2,0.0743932163611837,28,0,3,0,0,0,0
18,1,1,1,9.896569132428404,27,0,3,0,0,1,0
16,1,3,3,13.502597716888394,11,0,2,0,1,0,0
15,1,0,2,6.779398523456428,3,1,4,0,0,0,0
18,0,2,1,8.88959955955582,16,0,1,0,1,0,0
15,0,0,2,8.982468278605015,11,1,1,0,0,0,0
16,1,1,3,1.5110898752553914,3,0,3,0,0,0,0
18,1,0,1,14.622059660071242,15,1,0,0,0,0,0
15,0,2,3,4.21056976881226,26,0,2,0,0,0,0
17,1,0,1,7.004732286541535,13,0,3,1,0,1,0
17,1,0,1,8.160401825701623,5,1,0,0,0,0,0
15,0,0,3,4.997349305158587,27,0,2,1,0,0,0
15,1,0,1,2.764911312681142,7,1,1,0,0,0,0
17,0,2,1,10.081401594968488,12,1,4,0,0,0,0
17,1,0,4,3.222000465128445,25,0,1,0,0,0,1
18,0,1,2,13.239396789012684,14,0,4,0,1,0,0
16,0,3,1,13.573201876537942,27,0,3,0,1,0,0
15,1,1,2,11.485870794171472,1,0,2,0,1,0,0
16,1,1,3,13.427360177935912,22,0,1,1,1,0,0
16,1,0,2,13.03359589756854,4,0,3,0,0,0,1
18,1,0,1,10.007167207687804,14,0,2,0,0,0,1
17,1,2,0,17.900677177068737,12,0,2,0,1,0,1
15,0,0,0,3.206180790311377,10,0,1,1,1,0,1
18,0,1,0,0.4878198622019347,13,0,1,1,0,0,0
17,0,3,2,11.43657542365382,1,0,3,1,0,0,0
15,0,0,2,11.411228092492127,14,0,1,0,0,0,0
16,0,3,3,15.89325784795778,21,0,0,1,1,0,0
17,0,0,1,8.035873406667275,23,0,1,1,0,0,0
17,1,0,2,3.636169313338995,13,0,0,1,1,0,0
17,0,2,4,2.45166313014366,19,0,2,1,0,0,1
17,0,3,3,18.215898610198977,17,0,3,0,1,0,0
16,1,1,2,11.929491550879048,0,0,1,0,0,0,0
16,0,1,1,2.4869063488482146,9,0,1,1,1,0,1
18,1,2,1,8.31572124138366,1,0,1,1,0,1,1
15,0,0,2,10.463162996352832,27,1,0,1,0,0,0
17,1,1,3,4.1367422123321695,18,0,1,1,0,0,0
15,1,0,2,12.49401338813216,0,0,3,0,0,0,0
17,1,1,2,17.09234926303671,18,0,0,0,1,0,0
16,1,3,0,4.708144976830533,16,1,3,0,0,0,0
16,1,0,1,5.812859386130622,20,1,1,0,0,0,0
17,0,2,3,3.456401029129046,25,0,0,0,0,0,0
16,0,3,0,18.079633931785708,1,0,2,0,0,1,0
17,0,0,3,0.6164923739874051,19,0,2,0,1,0,1
17,1,2,3,11.074564627967224,18,0,3,0,0,0,0
16,1,1,2,0.4080322137641268,18,0,3,1,0,0,0
16,1,1,0,8.934790506227856,15,0,4,0,0,0,0
17,1,1,1,14.763015096833794,20,1,3,0,1,0,0
15,1,2,1,19.166553729627736,17,0,1,0,1,0,0
18,0,0,2,12.133786463957716,2,0,0,0,0,0,0
17,1,0,2,6.759399584809575,23,0,2,0,0,1,0
16,1,3,4,5.044048043186617,25,1,2,1,0,0,0
17,0,0,1,7.59848581924029,15,0,2,0,0,0,1
16,1,0,4,1.9899245236127627,0,0,1,1,0,0,1
17,0,0,3,2.3854334407948685,11,1,2,0,0,0,0
16,1,0,1,6.860880115860204,25,0,2,0,1,0,0
15,0,3,1,3.415365200066738,23,0,1,0,0,0,0
15,0,1,1,14.417864381041952,14,1,4,1,1,0,0
17,0,0,3,1.994524077067359,28,0,4,1,0,0,1
15,0,2,1,3.342686297386144,18,1,3,1,1,0,0
16,1,0,1,18.02971702201498,4,1,1,1,0,0,0
18,1,0,0,18.954656080126107,0,0,1,1,0,1,0
15,0,0,1,12.94444566795711,12,0,3,1,0,1,1
16,1,0,3,10.10056092297534,14,1,1,0,0,0,0
16,1,0,1,5.488252632713635,1,0,2,0,0,0,0
15,1,0,2,12.283377006377854,3,0,4,0,0,1,0
18,1,0,1,16.65988277106001,9,0,1,0,0,0,0
16,1,2,1,11.818321856544536,8,0,0,0,0,0,0
16,1,0,1,6.23406642985624,12,0,2,0,0,0,1
18,0,0,0,9.526765869887324,28,1,3,0,0,0,0
15,0,2,2,17.197089806702436,25,0,3,1,0,0,0
17,1,0,3,9.721150838053616,2,1,3,0,0,0,0
18,1,0,1,15.36842142234484,8,0,3,0,1,0,0
16,0,0,3,10.06438414365924,28,0,3,1,0,0,0
18,1,2,2,4.667925389162539,20,1,3,0,0,0,1
16,1,1,3,5.494100656142873,1,0,3,1,0,0,0
15,1,0,1,0.895028678524763,28,0,3,1,0,0,0
17,1,2,2,8.592054868970935,23,0,2,0,0,0,0
16,0,0,2,16.75682761811037,15,1,3,0,1,0,1
15,1,0,2,5.053260043425647,1,0,1,0,0,1,0
18,0,0,2,15.240654420781022,22,0,0,1,0,1,0
18,1,0,1,3.381154982674115,8,1,2,0,1,0,0
15,0,1,2,7.589227611869296,5,0,1,1,1,0,0
17,1,0,2,8.871994026363744,9,0,2,0,1,0,1
18,1,0,2,17.94596991499477,15,0,3,1,0,0,0
16,1,0,3,8.082196954859143,16,0,2,0,0,0,0
17,1,0,2,0.6565099763848026,8,0,4,0,0,1,0
17,1,0,2,7.6396009092589185,24,0,0,0,0,0,1
15,0,1,0,8.220943871121163,13,1,3,1,0,0,0
17,1,1,2,1.5018729161062794,16,0,2,1,0,0,0
16,0,2,1,1.5849921225985764,10,0,2,0,0,1,1
16,1,2,2,17.403933809844844,24,0,2,1,0,0,1
18,1,3,1,11.942332400310068,13,0,2,0,1,0,1
15,1,0,2,16.324557037256003,21,1,0,0,1,0,0
16,1,0,2,3.57257753508599,14,1,2,1,1,0,0
17,1,0,4,12.188905946545576,29,0,3,0,0,0,0
16,1,0,1,1.677959212578186,20,0,2,0,0,0,0
16,0,2,2,7.464147382102537,21,1,3,0,0,0,0
18,1,0,1,18.921512361376628,1,1,3,1,1,0,0
15,0,0,0,9.615723363594546,26,1,2,1,0,0,0
15,0,0,2,9.957383610286383,10,0,1,0,1,0,1
17,1,2,1,19.007595029641863,20,0,1,1,0,0,0
15,0,1,2,4.023459342278015,25,0,2,1,1,1,0
16,0,0,2,1.913802321160023,11,1,1,0,1,0,0
18,1,0,3,11.677165346160308,1,1,2,0,0,0,0
15,0,2,1,3.253044363798012,13,1,1,0,0,0,0
17,1,0,0,15.567438090909825,5,0,3,0,0,0,1
17,1,0,2,12.29082036442631,20,1,0,1,1,1,0
18,1,1,2,3.98761638021254,15,1,2,0,1,1,0
15,1,1,1,9.247228944954784,21,1,2,0,1,0,0
15,0,2,1,4.459000171155072,27,0,1,0,0,0,0
18,0,2,0,19.61296439128099,2,1,0,1,0,0,0
18,0,0,2,5.577438525219298,19,0,4,1,0,0,0
16,0,0,2,17.700306490945174,16,1,2,0,1,1,0
18,0,0,2,5.305701781721048,3,0,3,0,0,0,0
18,0,0,1,7.518767508065867,17,1,3,0,0,0,0
18,0,1,3,8.072933889869557,25,0,1,1,0,0,0
15,1,3,2,1.0809525469945314,16,1,3,0,1,0,0
17,1,0,1,4.905586099487347,24,0,2,0,1,0,0
16,0,0,1,1.3448126810407324,17,1,3,1,1,0,0
18,0,0,1,11.709718766300712,5,1,3,0,0,0,0
18,1,0,1,17.22125872959439,18,0,2,0,1,0,0
17,1,3,3,11.78663289895456,12,1,1,1,0,0,0
18,1,0,2,8.606328560847817,14,0,4,1,0,0,0
18,0,2,1,10.826707654025345,0,0,3,0,1,1,0
17,1,0,1,4.6016898371495,23,1,3,0,1,0,0
16,1,0,2,5.5089335958101815,24,0,3,1,1,0,0
15,0,1,4,14.49741707159761,17,0,3,0,0,0,0
17,0,0,2,14.430235596868473,26,1,4,0,0,0,0
16,1,3,3,10.642359449175654,6,0,4,1,1,0,0
18,1,3,1,11.301475829602106,7,0,1,0,0,0,1
16,0,1,1,13.760610379039626,26,0,2,1,0,0,0
15,1,0,3,8.269315334203203,29,1,2,0,0,1,0
18,0,0,2,12.74890757435804,7,1,3,0,1,0,0
16,1,0,2,6.807696753550983,2,0,0,0,1,0,0
15,1,0,1,13.962338481670471,29,1,3,0,0,0,0
17,0,2,3,5.16528715774327,19,1,3,0,0,0,0
18,0,0,0,15.073322758191626,14,0,4,1,0,0,0
18,0,1,1,9.812271517963982,1,0,3,1,0,0,0
15,0,3,2,8.825486735001373,27,0,2,0,1,0,0
17,0,1,4,9.705112082944822,23,1,2,0,0,0,0
18,1,0,1,10.94255285137801,13,0,2,0,1,0,0
15,0,1,2,9.076931276138232,26,1,3,1,0,0,0
15,0,1,1,0.4885376588126644,3,0,2,0,1,0,0
17,1,1,2,2.543649072650218,26,0,1,1,0,0,0
15,0,1,1,7.863408691285283,28,1,2,1,0,0,0
16,1,0,3,13.629212250343423,18,1,3,1,0,0,0
17,1,2,2,13.796421426575238,6,0,3,0,1,1,0
16,1,0,0,8.25678795517813,6,1,2,0,0,1,0
16,1,1,1,2.369234101889637,0,1,2,1,0,0,0
16,1,0,2,2.836887952339704,27,0,1,0,0,0,0
17,1,3,2,17.431037129164956,17,0,2,0,0,0,0
17,0,1,1,15.557554110737543,15,1,2,1,0,0,0
16,0,0,1,16.59287610705857,8,0,0,0,0,0,0
17,0,0,0,9.464263737687975,7,0,1,0,1,0,0
16,0,0,2,2.4610424718064983,25,0,1,1,1,1,0
17,1,0,1,18.948559961195865,22,0,4,0,0,1,0
18,1,1,3,12.229897054383985,26,0,0,1,1,0,0
16,0,0,1,10.367992532661304,2,0,2,0,1,0,0
17,0,0,2,11.776205403124465,5,0,3,0,1,0,1
18,0,2,1,16.452958543877788,19,0,2,1,1,0,0
18,0,1,2,4.003084224987337,22,0,2,1,1,0,0
16,1,0,2,1.5654896145975172,4,1,4,1,1,0,0
18,0,2,2,19.520403150489884,23,1,3,1,1,0,0
17,0,0,2,9.083349403355276,8,0,1,1,1,0,0
16,0,0,2,0.8066032210302598,16,0,3,0,0,1,0
18,0,1,2,18.46599016539859,19,0,1,0,1,1,0
16,1,0,1,0.2355975257328402,26,0,2,0,0,1,0
17,1,0,2,9.531358871600371,2,0,1,1,0,0,0
15,1,1,3,3.480208960322484,1,1,1,0,0,0,0
18,1,3,2,5.690239194848883,21,1,3,0,0,1,0
17,1,0,1,9.019730052966874,22,0,2,0,0,0,1
18,1,3,3,13.414944009435468,10,0,3,0,1,0,0
16,0,2,3,19.933665558693598,20,0,2,0,0,0,0
18,1,0,2,2.8322270123579862,18,1,4,1,0,0,0
17,0,0,2,2.2677419110514507,2,0,4,0,0,0,0
16,1,2,2,4.156476829176716,24,1,3,1,1,0,0
18,1,3,4,5.75868188186438,4,0,2,1,1,0,1
16,0,0,3,18.28680885332967,17,0,3,0,1,0,0
17,1,2,2,5.413492119305787,24,0,3,0,0,0,0
18,1,0,2,16.100353864692558,24,1,3,0,0,1,0
16,1,1,2,13.434896809549668,4,0,3,0,0,1,0
17,1,0,1,13.83011091627189,21,1,3,0,1,0,0
18,0,1,2,3.5217857588770785,22,0,4,0,0,0,0
16,1,3,2,17.782387114548857,2,0,4,0,0,0,0
16,0,0,3,9.126336411019247,27,1,2,1,1,0,0
17,0,0,1,9.267820176092926,7,1,3,0,1,1,0
18,0,1,1,10.89763372058787,4,1,3,0,0,0,0
18,1,0,4,5.776199399081792,7,0,3,1,0,0,0
17,0,3,3,5.825874944110105,2,0,2,0,0,0,0
17,0,0,2,9.513100618498342,25,0,3,1,0,0,0
17,1,0,1,13.837278163216888,11,1,0,1,0,0,0
16,0,2,3,0.6959839973670023,11,0,2,1,1,0,0
18,0,1,0,10.9604299445827,8,1,2,1,0,1,0
17,1,0,0,11.886634678531916,17,1,3,0,0,1,0
15,0,2,2,5.592028652902636,19,0,2,1,1,0,1
18,1,0,4,16.481889809687484,22,0,1,0,0,1,0
18,0,0,0,6.964612794147373,25,0,2,1,1,0,1
16,1,0,3,2.7103374712150807,5,0,4,0,0,1,0
16,1,0,0,1.938346541339897,5,0,3,1,0,0,0
16,1,0,2,6.849504383726083,24,0,3,1,0,1,0
16,0,1,4,7.282421136830108,18,0,2,0,0,0,0
15,1,2,2,11.659969594366313,29,0,3,1,1,1,0
18,0,3,1,9.837519189216476,10,1,3,0,0,0,1
18,0,1,2,11.615936597069512,13,0,3,0,0,0,1
15,0,1,3,5.250172085330882,1,0,3,1,0,0,0
15,0,1,2,18.58521950395784,26,0,2,0,0,0,0
16,1,0,1,17.338820856610248,12,0,3,1,0,1,0
17,1,0,2,0.4440562597570063,9,1,3,1,0,0,0
18,0,0,2,3.006212449679375,23,0,3,1,0,1,0
17,0,1,3,0.9854730716554294,15,0,3,0,1,0,0
15,1,0,3,15.84006252260392,11,0,3,0,1,0,0
17,1,0,3,11.42679056906154,8,0,4,0,0,0,1
16,1,0,2,7.105792864386375,0,0,2,1,1,1,0
16,0,0,4,9.11321643106184,13,0,1,1,1,1,0
16,0,0,4,3.942120776473044,8,0,2,1,1,0,0
15,1,0,1,17.972778566022065,21,1,4,0,0,1,0
18,1,0,2,1.7554582824688114,5,1,2,1,0,0,0
18,0,2,0,8.882260103508129,25,1,1,0,0,0,0
18,1,0,3,14.240159223963254,13,1,1,0,0,0,0
18,1,0,2,16.224611168027156,14,1,2,0,1,0,0
18,1,1,3,8.824022044258648,1,0,3,0,0,0,1
16,1,2,2,8.448915800617582,20,1,2,1,0,0,0
18,0,0,3,11.966121513920376,16,1,1,0,0,0,0
17,0,2,1,5.763042715548061,16,1,2,1,1,0,0
16,0,1,1,3.625005111031039,5,0,1,1,0,0,0
18,1,2,1,8.2969370060319,13,0,2,0,1,0,0
15,1,0,1,3.5999923322137373,23,0,1,1,0,0,0
17,0,0,2,17.526279398310177,4,0,4,0,0,0,0
16,1,0,2,15.013380285633096,9,0,2,0,0,0,1
15,1,0,3,6.186484487164458,25,0,4,0,1,0,0
16,1,3,2,7.729874457278274,16,0,4,0,0,1,0
15,0,2,0,17.531962376700374,24,0,2,1,0,0,0
15,0,0,1,6.59949790580553,19,0,2,0,0,0,0
17,0,0,2,10.170777829954158,7,0,0,0,0,0,0
16,0,0,3,12.080099954790002,28,1,3,0,0,0,0
17,1,0,3,10.641736478760226,9,0,3,1,0,0,0
15,0,2,1,19.56530927058948,3,0,2,1,0,1,1
18,1,2,2,12.183907827866523,13,1,4,1,0,1,0
16,0,0,3,6.517802867872855,2,1,2,0,1,0,0
16,0,1,1,17.751261436323826,4,1,3,1,0,0,0
17,1,1,2,13.735114405638178,17,0,2,0,0,0,0
15,1,3,4,16.81570143878229,24,0,3,0,1,1,1
17,1,0,2,5.125847507384352,12,0,3,1,1,0,0
15,1,0,1,11.41329157961578,0,0,1,0,0,0,0
16,0,0,4,10.869397399627264,18,0,0,0,0,0,0
16,1,1,1,16.195770573762093,24,0,3,0,0,0,0
15,0,0,4,13.31568802937742,3,0,3,0,0,0,1
18,1,0,1,0.6398892028864944,25,0,2,0,1,0,0
18,1,1,2,16.20865827146341,1,0,3,1,0,0,0
15,1,0,1,13.09814246295718,23,1,0,1,1,0,0
18,0,0,1,2.261994788476449,18,0,2,1,1,0,0
18,1,0,1,3.710519505154384,25,0,3,1,0,0,0
16,0,2,1,6.304334747545721,8,0,3,0,0,0,0
15,1,2,1,12.060277267291765,1,1,2,0,1,1,1
16,1,2,1,12.75860979159331,3,0,1,1,0,0,1
16,1,0,1,12.24317317886458,19,0,3,0,1,0,0
18,1,0,1,0.6234981822384245,21,0,4,0,1,0,0
17,0,0,2,7.770622960120841,15,0,3,0,1,0,0
18,1,0,1,18.18530086910681,9,0,3,0,1,0,0
15,0,0,2,9.07507520500707,6,1,2,0,0,1,0
16,1,0,2,5.082945602556288,0,0,3,0,0,1,0
15,0,1,2,0.6099309570550893,12,0,2,1,1,0,0
18,0,0,2,13.405079520887185,1,0,2,0,0,0,0
15,0,0,2,11.426400308662055,3,1,3,0,0,0,0
17,0,0,0,17.622102967131315,8,1,2,0,0,0,0
16,1,0,1,19.47485164076987,26,1,3,1,0,0,1
16,0,0,3,17.232499001679567,16,1,3,1,1,0,0
16,1,1,2,3.7785962752990474,4,0,3,1,0,0,1
17,1,0,3,11.571706971858994,25,0,3,1,0,0,0
17,0,0,2,4.1240543180355775,24,0,3,1,0,0,0
17,1,2,2,10.243399118677743,13,1,1,1,1,0,1
16,0,0,2,17.173441098589922,26,0,3,0,0,1,0
15,0,0,2,9.728100710723565,17,1,0,0,1,0,0
15,0,0,2,19.424398237709887,0,0,3,0,1,1,1
17,1,2,1,0.6685306618644327,17,0,3,1,0,0,0
15,1,1,1,2.949078348522698,3,1,1,1,1,0,0
17,0,0,3,0.8769370499325979,3,1,2,0,1,1,0
16,0,1,2,12.535676341036892,24,1,2,0,0,1,0
17,0,0,2,16.179554992274173,29,0,2,0,0,0,0
16,0,0,0,7.397772512962497,3,0,1,1,0,0,0
18,0,1,1,2.7791981049783243,13,0,2,1,1,0,1
18,1,0,1,2.3289104816942285,6,0,2,0,0,0,0
16,0,0,0,17.415943446762263,10,1,4,0,1,0,0
16,1,3,2,7.335041528518802,27,0,4,1,1,0,0
16,1,1,2,6.859330394001564,4,0,2,0,1,1,0
17,1,0,1,17.806051142270405,6,0,2,1,0,0,0
17,1,0,1,8.94545936314244,8,0,2,0,0,1,0
16,1,0,2,5.783863039317394,22,1,4,1,0,0,0
15,0,0,0,7.961096813578754,22,0,3,0,0,0,1
17,1,0,1,19.243718189836,9,1,3,0,1,0,0
17,0,3,2,3.924685633757112,14,0,2,1,0,0,0
17,0,0,2,7.717188936722181,20,1,2,1,1,0,0
15,1,1,2,9.74032081032479,15,0,0,0,0,0,0
18,0,0,0,11.539183002419582,24,1,1,0,0,0,0
15,0,1,0,8.219212160718065,12,0,0,0,0,0,0
18,0,0,1,2.325473605857613,16,0,3,0,0,0,1
17,1,1,1,1.0012905418658868,0,0,2,0,0,0,0
18,1,1,3,16.96835452861022,1,1,0,0,1,0,0
17,1,0,1,16.359695421544107,10,0,3,0,1,0,0
16,1,1,3,5.928814495587944,16,0,0,0,1,0,1
18,1,0,2,8.720965959451757,5,1,3,1,0,0,0
16,1,2,0,10.27266767857302,10,1,1,0,1,0,1
18,1,0,1,0.4609417681321481,14,0,1,1,1,0,0
15,1,0,0,10.592890540702667,22,0,2,1,1,0,0
18,0,0,0,14.88838507626652,3,0,0,1,0,0,1
16,1,1,2,15.489548385519669,7,0,0,0,0,0,0
18,0,0,2,8.36726076857586,16,0,4,1,0,1,0
15,0,2,4,9.91638945297078,3,0,4,1,0,0,0
15,0,0,2,18.341970103435884,4,0,2,1,0,0,0
16,0,0,0,15.14938101446206,16,1,2,1,0,0,0
18,1,0,2,14.572303135855538,6,0,3,1,0,1,0
16,1,1,0,15.701437231270257,7,0,3,1,1,0,0
15,1,0,3,17.067914670738833,14,0,3,1,0,1,0
17,0,1,1,16.060910493517596,5,1,1,1,0,0,0
17,0,2,2,5.125098477781451,11,0,3,1,1,0,0
16,0,0,3,13.941822765215171,20,0,2,0,0,0,0
17,0,0,3,4.3864080242276415,26,1,4,1,1,0,0
18,0,0,1,19.9096722146644,5,0,3,0,0,0,0
16,1,0,3,2.621597234094062,2,0,3,0,0,0,1
18,1,2,0,8.789307487168843,13,0,4,0,0,0,0
15,0,3,1,10.531898851795788,12,0,2,1,0,0,0
17,1,0,2,15.713332038889122,11,0,3,1,0,0,0
18,0,0,2,10.684408198624949,23,1,1,1,0,0,0
17,0,1,2,2.7274221005891675,0,1,0,1,0,1,0
18,0,0,3,16.320670046041368,26,1,2,0,0,0,0
18,1,0,2,7.724727905981792,0,0,2,1,1,0,0
16,1,0,1,14.689740806448071,14,1,0,1,0,0,0
15,1,0,2,14.63410545446303,9,0,3,1,1,0,0
16,1,1,2,10.857562647216104,5,1,1,0,1,0,0
16,1,0,2,17.819907492885296,13,0,2,0,0,0,1
17,0,3,1,12.582351572685337,17,0,3,0,0,0,0
15,0,1,1,7.661387394530134,16,0,0,1,0,0,1
15,0,1,2,11.36638302155851,26,0,1,1,1,1,0
15,0,2,1,5.048276259531203,15,0,1,0,1,0,0
17,1,3,1,0.5834133714814893,1,0,2,0,1,1,0
16,0,1,0,8.773433936060977,16,1,2,0,1,0,0
18,1,1,1,8.255166405547868,7,0,2,0,0,0,1
18,0,1,3,16.25465808609359,29,0,2,1,0,0,1
15,1,3,2,5.724486144799887,18,1,0,0,0,0,0
15,1,2,0,9.772098517559694,2,0,3,1,0,1,0
15,1,1,2,9.91434020156551,10,0,1,0,0,0,0
15,0,0,0,12.844192740053948,25,1,1,0,0,0,0
16,0,2,2,4.5041420043240326,16,0,2,1,0,0,1
17,1,2,2,19.85607956372029,23,1,1,1,0,0,0
16,0,0,1,2.9203381118421645,6,0,2,1,0,1,0
15,1,2,1,8.299955167415085,4,0,2,1,1,1,0
18,1,3,1,10.55544418137754,3,1,3,0,0,0,0
17,0,0,1,9.005303869932764,1,1,4,0,1,1,0
16,1,0,0,6.441611506325316,26,0,2,0,1,0,1
18,1,0,2,9.099015536839994,23,0,3,0,1,0,0
15,1,1,0,6.811518748422374,14,0,0,0,1,0,0
17,0,0,2,12.973900850660709,27,0,3,1,0,1,0
17,0,2,2,14.022822627671538,7,0,0,0,0,0,0
16,0,0,2,17.07259857055914,24,1,0,0,0,0,0
17,1,3,4,15.416290433286424,9,0,1,1,0,0,0
17,1,0,1,9.906352938678175,25,0,3,1,1,0,0
15,1,1,0,14.282382818498318,12,1,2,0,0,0,0
18,1,2,0,1.7514912597247645,8,1,2,1,1,0,0
16,1,2,3,1.5929025806953168,4,0,1,0,0,1,1
18,1,0,3,15.805198078833875,26,0,3,1,0,0,0
16,1,1,2,16.922383711102235,12,0,2,1,1,0,0
18,0,0,2,0.4686591073477641,5,0,2,0,1,0,0
18,1,0,1,11.413663501439572,21,1,4,0,0,1,0
17,0,1,1,5.545168326983722,9,1,2,0,1,0,0
15,0,2,2,5.708105806056832,13,1,2,0,1,0,0
16,1,0,1,7.678977885259453,27,0,1,0,0,0,0
16,0,1,2,8.164750386925974,12,0,2,0,0,0,0
18,0,2,1,19.88575971522118,2,0,3,1,0,0,0
15,0,0,1,9.122544178932666,26,0,1,0,1,1,0
18,1,0,2,19.671945994775484,9,0,2,0,0,0,0
18,0,0,2,11.124727880515454,12,0,3,0,1,0,0
16,0,1,0,8.50004828246395,29,0,2,1,1,0,0
18,1,0,1,10.9924460221207,28,0,3,0,0,0,0
17,1,1,1,18.846018758024133,29,1,2,0,1,0,0
17,1,2,2,6.918990357264059,3,0,2,0,0,0,0
18,1,1,3,13.54147425316896,3,1,3,1,0,0,1
17,0,0,1,11.851363655296536,11,0,1,0,0,0,0
17,1,1,1,6.275642866114575,6,1,2,0,0,1,0
17,1,0,2,0.3808681854858364,8,0,1,0,0,0,1
18,0,0,2,7.202842282778761,1,0,4,0,1,0,0
18,0,0,2,6.718923067578677,15,0,1,1,0,0,0
17,1,0,1,18.668266408991094,21,0,2,0,1,1,0
18,1,3,2,16.868555914180984,5,0,1,1,0,0,0
